Date,Year,MW,Holiday,Temp_avg,Temp_max,Temp_min,hPa,Hum,Visibility,Wind_avg,Wind_max,Rain,Storm,Fog,Day,Month,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,MW_pred_knr,MW_pred_lr,MW_pred_dtr,MW_pred_abr,MW_pred_rfr,MW_pred_etr,MW_pred_gbr,MW_pred_mlpr,MW_pred_vr,MW_pred_sr,MW_pred_etr_simp
2017-01-01,2017,1472.0,1,30.3,35.0,27.5,1007.0,62.0,10.0,9.6,20.6,1,1,0,Sunday,January,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1959.35,1450.19140625,1472.0,1596.258064516129,1583.19,1472.0,1472.1372740812726,1574.1585671497066,1527.595,1503.18,1472.0
2017-01-02,2017,1779.0,0,25.6,34.0,21.0,1012.6,63.0,10.0,21.7,29.4,0,0,0,Monday,January,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1872.9,1820.73046875,1878.25,1935.3917050691243,1916.58,1916.0363636363636,1884.7274887510382,1811.4649593354416,1916.3081818181818,1895.39,1924.4
2017-01-03,2017,1889.0,0,26.2,28.4,22.0,1005.4,75.0,9.5,17.4,35.2,1,1,0,Tuesday,January,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1694.05,1842.63671875,1831.3333333333333,1770.610989010989,1832.15,1825.8363636363636,1852.3266753165096,1836.0686597444699,1828.9931818181817,1845.0616666666665,1895.349732620321
2017-01-04,2017,1841.0,0,26.2,31.0,22.3,1003.9,70.0,9.5,7.6,14.8,0,0,0,Wednesday,January,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1814.7,1857.265625,1831.3333333333333,1900.3813953488373,1855.73,1841.0,1862.8325067604405,1877.9105116233125,1848.365,1879.479090909091,1841.0
2017-01-05,2017,1771.0,0,25.1,30.8,19.7,1010.2,37.0,10.0,8.0,18.3,0,0,0,Thursday,January,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1700.8,1871.076171875,1732.25,1757.4315352697095,1768.78,1771.5200216450214,1790.166657154242,1875.036663776746,1770.1500108225107,1793.0895,1771.0
2017-01-06,2017,1801.0,0,23.2,29.0,18.9,1016.2,55.0,10.0,20.4,31.7,0,0,0,Friday,January,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1760.95,1877.80859375,1860.8,1696.7922077922078,1744.0924166666666,1739.342892010288,1731.7173676020304,1886.61007897777,1741.7176543384774,1766.1571428571428,1740.3666666666668
2017-01-07,2017,1863.0,0,27.8,32.0,20.2,1010.8,65.0,10.0,18.0,29.4,0,0,0,Saturday,January,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1833.85,1793.09375,1863.0,1930.85,1881.93,1863.0,1857.7054871871194,1784.573241329158,1872.4650000000001,1880.43,1863.0
2017-01-08,2017,1541.0,0,25.7,31.9,21.6,1008.1,73.0,8.9,14.6,51.9,1,1,0,Sunday,January,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1746.1,1588.16796875,1541.0,1663.6,1560.0,1541.0,1556.9202304912533,1655.88581223806,1550.5,1558.65,1541.0
2017-01-09,2017,1754.0,0,25.3,29.1,20.0,1003.4,81.0,9.2,11.9,57.6,1,1,0,Monday,January,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1649.15,1787.859375,1831.3333333333333,1756.5941320293398,1770.29,1740.4745454545455,1766.9307820781391,1768.175521571678,1755.3822727272727,1746.025,1815.6909090909091
2017-01-10,2017,1709.0,0,22.0,29.5,18.0,1010.3,60.0,10.0,9.8,16.5,0,0,0,Tuesday,January,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1625.2,1814.662109375,1709.9872611464968,1695.1984732824428,1714.1025871326701,1708.8651319522523,1707.6662737800243,1844.1449822219083,1711.4838595424612,1732.335,1710.6651239669422
